Split,Samples,Actual_Attack,Actual_Benign,Predicted_Attack,Predicted_Benign,Accuracy,Precision,Recall,F1,PR_AUC,ROC_AUC,False_Positive_Rate,TN,FP,FN,TP
TRAIN,6011,1148,4863,1148,4863,0.9314589918482782,0.8205574912891986,0.8205574912891986,0.8205574912891986,0.7075851005866842,0.8890984042915251,0.04236068270614847,4657,206,206,942
VALIDATION,1117,266,851,266,851,0.9964189794091316,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9868094486186858,0.9950655133721495,0.0023501762632197414,849,2,2,264
TEST,2145,983,1162,983,1162,0.9972027972027973,0.9969481180061037,0.9969481180061037,0.9969481180061037,0.9953041513945134,0.9971831812061499,0.0025817555938037868,1159,3,3,980
