Split,samples,actual_attack,actual_benign,predicted_attack,predicted_benign,accuracy,precision,recall,f1,pr_auc,roc_auc,fpr,tn,fp,fn,tp
TRAIN,6018,1150,4868,1066,4952,0.8906613492854769,0.7307692307692307,0.6773913043478261,0.7030685920577617,0.8036019137020343,0.8929484477153371,0.05895645028759244,4581,287,371,779
VALIDATION,1118,266,852,42,1076,0.7710196779964222,0.6190476190476191,0.09774436090225563,0.16883116883116883,0.3106197789391179,0.4944006142115853,0.018779342723004695,836,16,240,26
TEST,2147,984,1163,43,2104,0.5458779692594318,0.6046511627906976,0.026422764227642278,0.05063291139240506,0.3996784699265421,0.3809018238505687,0.014617368873602751,1146,17,958,26
