Split,samples,actual_attack,actual_benign,predicted_attack,predicted_benign,accuracy,precision,recall,f1,pr_auc,roc_auc,fpr,tn,fp,fn,tp
TRAIN,6018,205,5813,263,5755,0.9258889996676637,0.04182509505703422,0.05365853658536585,0.04700854700854701,0.036173554171555676,0.5711462533514032,0.04335110958197144,5561,252,194,11
VALIDATION,1118,2,1116,39,1079,0.9633273703041145,0.0,0.0,0.0,0.002041452068449909,0.353494623655914,0.03494623655913978,1077,39,2,0
TEST,2147,3,2144,38,2109,0.9809035863996274,0.0,0.0,0.0,0.002192498213144929,0.5611007462686567,0.017723880597014924,2106,38,3,0
