Samples,Actual_Attack,Actual_Benign,Predicted_Attack,Predicted_Benign,Accuracy,Precision,Recall,F1,PR_AUC,False_Positive_Rate,TN,FP,FN,TP,Split
6002,1147,4855,1147,4855,0.9316894368543819,0.8212728857890148,0.8212728857890148,0.8212728857890148,0.7086444345050252,0.042224510813594233,4650,205,205,942,TRAIN
1116,266,850,266,850,0.996415770609319,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9868110530185921,0.002352941176470588,848,2,2,264,VALIDATION
2143,983,1160,983,1160,0.997200186654223,0.9969481180061037,0.9969481180061037,0.9969481180061037,0.9953054566688005,0.002586206896551724,1157,3,3,980,TEST
